ID	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W016	17.06666667	5.666666667	11.33333333	8.9	2.75	5.5	3.166666667	40.19047619
C078	31.4	13	51	13.9	2.783333333	6.333333333	3.5	41.06451613
C203	NA	NA	NA	NA	NA	NA	NA	47.13636364
C016	16.86666667	5.666666667	14.33333333	9.7	2.85	5.166666667	3.166666667	48.24390244
C113	23.1	8.666666667	25.33333333	11.55	2.833333333	5.5	3	49.79310345
W293	NA	NA	NA	NA	NA	NA	NA	50.90625
W109	19.36666667	5	12.33333333	8.65	2.65	5	3	51.94117647
W262	21.96666667	9	27.33333333	10.85	2.233333333	5.333333333	3.333333333	52.62162162
W316	22.26666667	8	10.66666667	10.75	2.483333333	5.833333333	2.5	52.81481481
W051	NA	NA	NA	NA	NA	NA	NA	53.82857143
W239	26.23333333	13.33333333	29.66666667	11.31666667	2.733333333	5.666666667	3	55.05555556
C018	16.6	7.333333333	10.66666667	7.833333333	1.85	6.166666667	3	56.55813953
W150	24.73333333	8.333333333	8	9.025	3.1	6.25	3.25	58
W044	22.43333333	9.666666667	17.33333333	10.26666667	2.983333333	5.5	3	58.0625
C024	21.23333333	11.33333333	26.66666667	10.51666667	2.733333333	5.833333333	3	58.44827586
C017	24.53333333	11.33333333	20.66666667	8.883333333	1.866666667	6.5	2.833333333	58.82608696
W261	23.13333333	7.333333333	14	11.86666667	2.816666667	6.166666667	2.666666667	61.875
W139	20.56666667	7.333333333	16	10.75	2.683333333	6	3.666666667	61.92105263
C021	20.3	8.333333333	20	11.2	2.366666667	6	2.833333333	63.65714286
W304	NA	NA	NA	NA	NA	NA	NA	64.6
W045	20.9	6	12	10.2	2.7	5.333333333	3	64.71428571
W301	25.36666667	9	17.33333333	12.9	3.383333333	5.333333333	3.166666667	65.70731707
W083	26.4	11.33333333	24.33333333	9.95	2.583333333	5.666666667	3	67.01886792
W133	25.26666667	10.66666667	23.66666667	10.35	2.266666667	6.166666667	3	70
W046	24.66666667	11.66666667	16	11	2.566666667	6	2.833333333	70.55
C182	26.76666667	10.33333333	30.66666667	13.7	3	5.666666667	2.833333333	70.73809524
W096	24.2	8.333333333	16.33333333	12.75	2.733333333	5.833333333	3.5	71.21052632
W183	25.7	10.33333333	23	11.7	3.1	5	3.166666667	71.58536585
W081	31.46666667	9.666666667	14.33333333	14.85	3.1	6.666666667	2.833333333	71.76785714
W299	22.66666667	12	30.33333333	10.18333333	2.183333333	5.833333333	3	73.46153846
W098	23.9	11	20.66666667	10.71666667	2.35	6.333333333	3	73.46774194
C077	27.7	12	32	12.11666667	2.3	6.833333333	2.833333333	74.09090909
C084	NA	NA	NA	NA	NA	NA	NA	74.17857143
W043	NA	NA	NA	NA	NA	NA	NA	75.03571429
W192	NA	NA	NA	NA	NA	NA	NA	75.74
C027	24.83333333	10	18.33333333	12.8	3.1	6.166666667	3	76.55555556
C001	23.46666667	8.666666667	24.33333333	12.56666667	2.833333333	6.333333333	3.166666667	76.65116279
W169	22.46666667	10.66666667	14	11.48333333	2.9	5.5	2.666666667	77.87179487
W179	24.16666667	9.333333333	28	13.83333333	3.933333333	5.833333333	4	78.42857143
W137	NA	NA	NA	NA	NA	NA	NA	79.2972973
W281	30.26666667	13.66666667	32.33333333	10.75	1.716666667	6.166666667	2.333333333	80.01960784
C125	26.9	11	26.33333333	11.88333333	2.583333333	6.166666667	3	80.05405405
W178	NA	NA	NA	NA	NA	NA	NA	80.68253968
W173	25.13333333	13.33333333	25.66666667	12.15	2.95	6	3.333333333	81.04
W329	31.03333333	12.66666667	47.66666667	14.93333333	3.416666667	5.833333333	3.666666667	81.22857143
W059	24.8	9.333333333	23.66666667	9.383333333	2.083333333	5.833333333	2.666666667	81.39534884
W291	21.26666667	9.666666667	19.33333333	11.76666667	2.966666667	5.666666667	3	81.60377358
C032	20.83333333	9.333333333	20.66666667	8.816666667	2.566666667	5.5	3.333333333	82.32653061
W307	24.73333333	10.33333333	26.33333333	11.85	2.65	5.833333333	3	82.90909091
W007	31.53333333	19	57.33333333	11.35	2.55	6	3.5	83.03125
C158	22.3	8.666666667	21	10.16666667	2.216666667	5.5	2.333333333	83.42
W264	26.16666667	13.66666667	30.66666667	13.36666667	2.85	5.833333333	2.833333333	84.30769231
W219	30.46666667	9.666666667	27.66666667	14.35	3.516666667	7.166666667	3.833333333	84.6125
W157	24.66666667	12	33	12.53333333	2.55	5.833333333	3.166666667	84.62962963
C034	22.96666667	10	28	9.566666667	2.4	6.166666667	3.333333333	84.68181818
W206	33.36666667	9.333333333	24	14.56666667	3.633333333	6.5	3.5	84.97674419
C035	21.9	9.333333333	19	8.933333333	2.4	6	3	85.28571429
W094	27.23333333	9	19	11.08333333	2.433333333	5.666666667	3	85.35294118
W225	25.96666667	14	33	9.333333333	2.133333333	6.333333333	3	85.47826087
C146	19.23333333	9.666666667	19.66666667	7.933333333	2	5.833333333	2.833333333	85.91666667
W282	NA	NA	NA	NA	NA	NA	NA	86.65591398
C114	21.6	9	23.33333333	11.28333333	2.783333333	5.166666667	2.666666667	86.93617021
W284	23.9	13.33333333	42.33333333	9	2.133333333	4.833333333	3	87.5
W105	27.8	10	24	13.36666667	2.966666667	7.5	3	87.7
W312	NA	NA	NA	NA	NA	NA	NA	87.79310345
C156	21.4	6	21	13.05	2.933333333	5.166666667	3.5	88.08108108
W315	NA	NA	NA	NA	NA	NA	NA	88.22857143
W066	23.06666667	7.666666667	24	11.76666667	3.033333333	6.166666667	3.833333333	88.24137931
W071	25.4	8.333333333	25.33333333	12.45	2.833333333	6	3.666666667	88.38983051
W174	21.5	9.666666667	23	12.6	3.283333333	6	3.833333333	89.08333333
W039	26.7	11.33333333	27.66666667	13.31666667	3.116666667	6.833333333	3.166666667	89.17021277
W216	22.76666667	13	13.33333333	10.15	2.633333333	6.166666667	3	89.88888889
W191	NA	NA	NA	NA	NA	NA	NA	89.93333333
W309	NA	NA	NA	NA	NA	NA	NA	90.08333333
W082	25.6	9.666666667	20	10.68333333	2.716666667	6.166666667	3	90.54545455
C055	25.33333333	8	18.33333333	10.61666667	2.466666667	5.666666667	3.166666667	91.46
W238	23.8	8.666666667	24.33333333	13.65	3.733333333	5.5	3.833333333	92.34146341
W310	NA	NA	NA	NA	NA	NA	NA	92.54545455
W274	19.2	8.333333333	19	9.85	2.433333333	5.833333333	3	92.57142857
W237	NA	NA	NA	NA	NA	NA	NA	92.68292683
C019	24.53333333	7.333333333	25.33333333	13.56666667	2.85	5.833333333	3.166666667	92.94285714
C160	24.53333333	11.66666667	26	11.53333333	2.45	5.666666667	2.833333333	92.97368421
W308	26.73333333	14.66666667	16.33333333	12.61666667	2.7	6.333333333	2.833333333	93.35714286
W040	NA	NA	NA	NA	NA	NA	NA	93.36363636
C112	22.26666667	8.333333333	30	10.98333333	2.8	5.166666667	3.166666667	93.84210526
W077	31.85	11.5	25	15.175	3.625	7	3.25	94
C170	25.63333333	12	22.33333333	11.56666667	2.416666667	6	2.833333333	94.14285714
W147	24.76666667	14	22	11.65	3.05	6.333333333	3.666666667	94.1627907
W017	24.1	13	23	9.333333333	2.2	6.5	3	94.6
C064	NA	NA	NA	NA	NA	NA	NA	94.76595745
W078	NA	NA	NA	NA	NA	NA	NA	95.22916667
C082	28.46666667	11.66666667	32.33333333	11.78333333	2.8	5.833333333	3.166666667	95.92307692
W277	26.7	9.666666667	27.33333333	11.1	2.6	6	3	96.04255319
W242	NA	NA	NA	NA	NA	NA	NA	96.42553191
W208	19.23333333	10.66666667	20.66666667	8.1	1.85	6.5	2.833333333	96.4375
C076	25.3	11.33333333	28	11.3	2.45	6.333333333	3	96.48
W305	20.96666667	11.33333333	24.33333333	7.65	1.7	5.833333333	2.833333333	96.71052632
C040	25.2	14.66666667	45	12.75	2.566666667	6.5	3.166666667	96.72972973
C003	31.3	9	32	16.45	4.833333333	6.333333333	4.166666667	96.74074074
W161	20.76666667	10	30	10.81666667	3.15	6	3.333333333	96.75862069
C177	25.23333333	10.33333333	31.33333333	11.26666667	2.733333333	5.833333333	3.5	97
C068	26.36666667	12.33333333	22.66666667	11.28333333	2.583333333	6.333333333	3	97.17241379
W311	22.16666667	13.33333333	16	9.7	2.52	6	3	97.55555556
W120	21.6	10.66666667	14	9.683333333	2.116666667	6.666666667	2.5	97.58928571
W240	23.06666667	9.666666667	30	11.11666667	2.966666667	5.166666667	3	97.72222222
C061	23.96666667	10	20	9.25	2.466666667	6	2.833333333	98
W295	25.86666667	9	23.66666667	13.03333333	3.35	5.333333333	3.166666667	98.01470588
C171	26.5	10.33333333	22.66666667	9.816666667	2.3	6.333333333	3.5	98.45
W146	22.96666667	9.666666667	23.33333333	12.11666667	2.45	6.333333333	3	98.50769231
C115	23.36666667	10	26.66666667	11.9	2.716666667	6	2.5	98.63888889
W093	23.33333333	8.333333333	21.66666667	12.53333333	3.083333333	6.166666667	3.833333333	98.83870968
W052	20.56666667	8	26	10.41666667	3.016666667	5.5	4	99.37037037
W175	26.2	10	26.33333333	11.83333333	3.1	5.5	3.5	99.375
C105	NA	NA	NA	NA	NA	NA	NA	99.54545455
C033	21.53333333	8.666666667	24.66666667	10.95	2.333333333	5.333333333	3	100.3076923
C022	21.33333333	8.333333333	29.66666667	11.06666667	2.9	4.833333333	3.333333333	100.5957447
C139	33.06666667	14.66666667	44.66666667	16.15	2.983333333	6.333333333	3.5	100.7564103
W184	24.83333333	9.666666667	25.66666667	12.85	2.85	6	3	101.0714286
W162	17.03333333	10.66666667	16.66666667	4.8	1.383333333	5.333333333	2.833333333	101.1470588
W211	23.46666667	9	22.33333333	12.58333333	3.133333333	5.833333333	3.333333333	101.5714286
W318	28.66666667	9.666666667	26	14.53333333	3.183333333	5.833333333	3.333333333	101.7307692
C020	22.9	9.666666667	27.66666667	9.783333333	2.216666667	5.666666667	3	101.75
W104	25.56666667	10.33333333	23	11	2.3	6.333333333	3	101.8947368
W065	26.1	12.66666667	21.33333333	10.18333333	2.416666667	6.333333333	3	101.9166667
W207	26.76666667	12.33333333	33.33333333	9.75	1.883333333	5.666666667	3.166666667	102.4545455
C178	25.2	14.33333333	38	10.01666667	2.3	6.666666667	3.166666667	102.9807692
C015	26.23333333	10.33333333	25.66666667	13.18333333	2.933333333	6	3.5	103.04
W220	33.15	12	26	15.05	3.15	7	3	103.5121951
W076	25.5	12.66666667	39	12.23333333	2.75	6.666666667	3.166666667	103.6666667
C157	24.66666667	10.33333333	26	12.25	2.8	5.833333333	3.5	103.8717949
C025	17.66666667	9.666666667	26.33333333	8.516666667	1.966666667	6.166666667	3	103.94
W087	19.63333333	9	26	10	2.666666667	4.666666667	3	105.2068966
W271	23.26666667	8.666666667	31.66666667	14.2	3.616666667	5.5	3.333333333	105.25
C188	30.2	10.66666667	35	11.73333333	2.416666667	5.333333333	3.166666667	105.2857143
W327	20.56666667	12.33333333	31	7.933333333	1.75	6	2.666666667	105.4615385
W056	22.3	14.66666667	28.33333333	7.35	1.466666667	5.833333333	2.333333333	105.6666667
W149	24.83333333	11.33333333	27	12.91666667	3.1	5.5	3	105.9215686
W033	27.03333333	12.66666667	47	12.85	2.516666667	6.5	3.666666667	106.1578947
C164	25.26666667	13.66666667	57.33333333	12.8	2.733333333	6	3	106.3181818
W038	NA	NA	NA	NA	NA	NA	NA	106.3333333
W018	20.53333333	8.333333333	18.66666667	8.233333333	2.25	5.833333333	3	106.4814815
C049	25.7	11	35	14.4	3.716666667	5.833333333	4	106.55
C099	NA	NA	NA	NA	NA	NA	NA	106.5866667
C202	NA	NA	NA	NA	NA	NA	NA	106.8888889
W288	27.33333333	14.66666667	27	10.06666667	2.316666667	6.666666667	2.833333333	107.3666667
W302	32.06666667	16.33333333	25.66666667	10.21666667	2.266666667	7	2.666666667	107.425
W053	28.43333333	10.66666667	32	10.3	2.483333333	6	3.333333333	107.5121951
W106	28.93333333	9.333333333	28	12.73333333	2.733333333	5.666666667	3	107.5333333
C011	NA	NA	NA	NA	NA	NA	NA	107.5517241
W199	34.23333333	9.666666667	24.66666667	12.61666667	3.016666667	6.666666667	3.166666667	108.2903226
W256	37.7	11	32.66666667	15.98333333	3.2	7.333333333	3.666666667	108.5
W012	23.16666667	11.66666667	22.33333333	10.53333333	2.45	5.833333333	3	109.2142857
W200	25.63333333	10.66666667	24.33333333	11.58333333	2.733333333	6.166666667	3	109.65
W088	21.46666667	10	25	9.4	2.433333333	5.833333333	3.333333333	109.7297297
W171	26.06666667	10.33333333	32.66666667	12.81666667	2.366666667	6.833333333	3	110.5813953
C062	25.06666667	13.66666667	36.66666667	10.38333333	2.416666667	6.333333333	3.166666667	110.90625
C066	25.93333333	8.666666667	25.66666667	13.3	3.483333333	6.666666667	3.666666667	111
C120	21.9	10	29.66666667	10.1	2.166666667	6	3.333333333	111.1470588
C044	23.2	12	35	10.4	2.7	6	3.166666667	111.3529412
W080	30.13333333	11.33333333	29.33333333	13.88333333	2.616666667	6	2.833333333	111.4833333
W176	23.56666667	11.33333333	26.66666667	10.11666667	2.316666667	6	3	111.525
W209	24.63333333	11.33333333	28.33333333	6.666666667	1.516666667	5	2.5	111.5384615
W269	26.73333333	9.666666667	35	13.38333333	3.15	5	3.166666667	111.65625
W227	25.3	12.66666667	29.66666667	11.61666667	2.583333333	6	3	112.1052632
W313	26.66666667	10.33333333	29.66666667	12.8	3.2	5.666666667	3	112.3571429
W172	28.56666667	12	39.33333333	14.73333333	3.333333333	6.166666667	3.5	112.5294118
W143	NA	NA	NA	NA	NA	NA	NA	112.8076923
W231	29.16666667	12.66666667	27.33333333	13	2.783333333	6.166666667	3	113.0285714
W289	24.33333333	12.33333333	24.66666667	10.65	2.55	6.333333333	3	113.175
C143	28.36666667	13	33.66666667	12.8	2.55	5.666666667	3.166666667	113.2264151
C094	30.63333333	11.66666667	28	11.68333333	2.083333333	6	3	113.2439024
C117	23.26666667	9.333333333	42.66666667	13.03333333	3.75	5	4.5	113.4848485
W185	24.8	10.33333333	28.66666667	12.08333333	3.383333333	5.5	3	113.4871795
C180	27.4	11.33333333	26	12.03333333	2.816666667	5.833333333	3	113.5581395
C138	37.25	14	45.5	14.325	2.775	5.5	3.25	113.82
W253	29.2	11.66666667	30	10.11666667	2.266666667	6.5	3	114.1428571
C194	NA	NA	NA	NA	NA	NA	NA	114.1777778
C039	27.86666667	14.66666667	33	12.2	2.633333333	6.5	3	114.2222222
W099	27.83333333	10.66666667	30.33333333	14.6	3.15	6.166666667	3.333333333	114.2222222
C081	28.63333333	11.66666667	37	13.01666667	2.466666667	6.5	3	114.25
C009	20.03333333	11.66666667	40	8.8	1.833333333	6	2.833333333	114.7222222
W246	26.9	8.666666667	22	10.33333333	2.566666667	6.5	3	114.8219178
W306	44.35	13.5	51.5	15.4	3.225	6	3.5	114.9142857
W152	22.56666667	10.33333333	20.66666667	9.583333333	2.35	5.5	2.333333333	114.9259259
C056	23.93333333	11.66666667	35	9.883333333	2.283333333	5.333333333	3.333333333	115
W013	20.93333333	11.33333333	30.66666667	8.15	2.016666667	5.333333333	3.333333333	115.55
W317	NA	NA	NA	NA	NA	NA	NA	115.7567568
C161	23.16666667	9.333333333	23.33333333	11.55	2.483333333	5.833333333	2.833333333	115.8333333
W272	NA	NA	NA	NA	NA	NA	NA	115.9295775
C183	28.13333333	10	39	15.85	3.266666667	5.833333333	3.5	115.9772727
W168	NA	NA	NA	NA	NA	NA	NA	117.05
W024	24.46666667	12	25.66666667	10.33333333	2.283333333	5.833333333	3	117.4375
W177	25.66666667	12	44	13.06666667	3.45	6	4	117.4827586
C147	28	10.66666667	32.33333333	11.48333333	3.016666667	5.666666667	3.333333333	117.5813953
W144	29.43333333	12.33333333	24	10.65	2.466666667	6.833333333	2.666666667	117.6363636
W124	22.6	11	37.66666667	11.91666667	2.583333333	6	3.333333333	117.7931034
W116	37	15.66666667	35	15.3	2.583333333	6.333333333	3.166666667	118.0588235
W138	22.56666667	12.33333333	25.33333333	9.066666667	2.166666667	5.5	2.833333333	118.4285714
C060	22.73333333	11.66666667	21.66666667	11.23333333	2.583333333	6	3	119.0689655
W062	NA	NA	NA	NA	NA	NA	NA	119.1521739
W050	31.2	10	23.33333333	14.33333333	3.316666667	7.333333333	3.333333333	119.3953488
W251	24.5	11.33333333	38	10.71666667	2.8	5.333333333	3.5	119.5348837
W189	22.46666667	11.66666667	30.33333333	11.53333333	2.683333333	6	3	119.8378378
C054	18.66666667	10.66666667	23.33333333	6.416666667	1.583333333	6	2.666666667	119.8571429
W314	26.1	10	28.33333333	14.05	3.9	5.833333333	3.833333333	120.1463415
C122	25.2	15.66666667	54.66666667	13.16666667	2.783333333	6.166666667	4	120.8529412
W153	26.76666667	12.33333333	34.66666667	9.9	2.616666667	5.166666667	3	120.8666667
W222	NA	NA	NA	NA	NA	NA	NA	121.1578947
C135	28.13333333	11.66666667	43.66666667	15.58333333	4.133333333	6.166666667	4.833333333	121.1896552
C123	24.13333333	10	34.33333333	11.36666667	3.116666667	5.333333333	3.5	121.4
W180	23.86666667	11.66666667	27.66666667	10.83333333	2.466666667	6.166666667	3	122.0526316
C107	NA	NA	NA	NA	NA	NA	NA	122.6779661
W250	24.43333333	11.33333333	30.33333333	10.76666667	2.483333333	6.5	3.333333333	122.7272727
W283	20.53333333	9	30.33333333	10.06666667	2.216666667	5.833333333	4.166666667	122.84
C026	21.96666667	13.33333333	26.66666667	8.166666667	1.816666667	6.333333333	2.833333333	123.1612903
C116	18.46666667	11.33333333	29	6.75	1.5	6.166666667	2.833333333	123.4186047
C095	NA	NA	NA	NA	NA	NA	NA	123.6206897
C131	25.76666667	10.66666667	23.33333333	13.31666667	2.483333333	6.333333333	3.166666667	123.7272727
W118	22.56666667	14.66666667	28.33333333	9.933333333	2.366666667	6.833333333	3	124.3043478
W201	25.23333333	11.33333333	31.66666667	11.85	2.7	6	3	124.9148936
W202	27.33333333	11	29.33333333	11.71666667	2.55	6	3.166666667	125.0638298
C069	27.56666667	12	31.66666667	11.46666667	2.833333333	5.666666667	3.166666667	125.6382979
C063	24.06666667	13.33333333	21.66666667	6.933333333	1.8	5.666666667	2.833333333	125.7272727
C014	22.33333333	14.33333333	38.33333333	9.216666667	1.733333333	6.166666667	3.166666667	126.5
W148	27.16666667	11.66666667	36.33333333	13.56666667	2.566666667	6.5	3.166666667	126.7941176
W001	20.36666667	14.66666667	46	9.966666667	2.566666667	6.333333333	3.333333333	127.0769231
C002	30.4	13.33333333	26	13.81666667	3.783333333	7	3.666666667	127.3333333
W132	28.23333333	9.666666667	39.33333333	13.66666667	3.133333333	6.166666667	3.666666667	127.4464286
C155	21.9	9	38.33333333	13.11666667	3.45	5.166666667	4.333333333	128.15
W006	27.13333333	12	31.66666667	9.85	2.216666667	6.166666667	3	128.3529412
W156	26.06666667	13.66666667	41.66666667	12.05	2.666666667	6.333333333	3	128.8518519
W057	30.4	13.66666667	34.66666667	11.81666667	2.45	6.833333333	3	129.0714286
C073	26.03333333	13.33333333	30.66666667	10.4	2.35	6.333333333	2.833333333	129.09375
W079	27	13.66666667	25.33333333	11.56666667	2.1	6.5	2.833333333	129.2702703
W085	24.63333333	12.33333333	35	12.45	2.533333333	6.333333333	3	129.4333333
W023	25.2	12.33333333	42	10.91666667	2.633333333	5.666666667	3.166666667	129.4857143
C118	NA	NA	NA	NA	NA	NA	NA	130.2368421
W182	23.56666667	11	28	13.73333333	3.166666667	7	3.5	130.3333333
C124	27.1	13.33333333	39.33333333	13.18333333	2.783333333	6.333333333	3	130.3962264
C067	24.33333333	11.33333333	36	8.766666667	2	5.833333333	3.5	130.5
W058	25.26666667	13.66666667	35.66666667	10.63333333	2.5	6.833333333	3.166666667	130.66
C037	24.23333333	14	46.33333333	12.8	2.783333333	6.166666667	3	130.78
W160	16.9	11.66666667	27.66666667	7.083333333	1.616666667	5.666666667	2.666666667	131.5
W164	24.56666667	8.666666667	45.33333333	14.91666667	4.816666667	5	6	131.6756757
W129	32.33333333	12.66666667	35	12.85	2.85	6.833333333	3.166666667	131.7857143
W122	36.6	14	47.5	14.075	2.75	7	3.25	131.9111111
