ID	Number_of_flowers
C152	1279.6
W146	3386.6
W150	2152.4
W129	3203.2
W086	1729.0
W195	3408.0
W138	4011.2
C167	1014.2
W077	1593.0
C114	958.4
C030	1455.8
C031	1285.0
W149	2179.4
C148	1043.4
W069	2423.0
W079	1453.4
W139	1015.2
W307	-9.0
W197	4070.6
W029	2106.2
W290	2016.0
C129	1948.0
C019	860.33
C173	895.0
C178	1165.4
C122	1694.5
W242	3035.2
W050	1428.2
W305	1096.8
W071	1852.0
W101	2179.8
W258	2144.6
W172	2324.8
W273	3091.6
C017	361.67
C018	695.0
W144	2043.4
W112	2038.0
W061	1066.2
W192	2201.0
W239	3521.8
W330	1744.6
W223	2520.2
W296	2401.0
W297	1531.8
W287	2248.0
C005	1529.0
W078	1537.5
C101	822.0
W198	2652.8
C127	1160.0
C184	885.2
C150	927.2
C160	969.4
W211	2255.6
W306	2509.8
C059	1163.6
C199	1246.2
C076	1120.0
C077	707.0
W009	1422.6
W180	2148.6
W224	3059.6
W168	2534.2
W181	4056.8
W212	3747.4
W122	1767.0
W262	2178.4
C200	972.8
W044	1542.8
W038	2402.8
W120	819.4
W147	3185.0
W148	2372.0
W303	1796.0
W314	2656.6
W310	3923.2
W127	1685.8
W090	2717.8
W151	2815.5
W233	1837.6
W003	1012.8
W022	2185.0
W104	1423.4
W152	2464.4
W082	1058.6
W027	1330.6
C156	862.0
C037	1370.8
W153	2022.6
C050	811.33
C176	867.2
C083	1211.4
W264	3013.8
W036	2952.0
W088	1174.0
W315	2023.8
W312	2983.2
W317	2289.0
W137	1819.4
W083	1395.2
W304	2603.4
W182	3739.0
W007	1421.4
W064	1008.8
C137	746.6
C074	679.8
C010	1172.6
W256	2131.0
W283	762.0
C057	1165.25
C069	1195.6
W134	2968.4
W106	1770.8
W193	1725.8
C027	1197.2
W199	2043.4
W043	2456.2
W096	1653.4
W095	2058.2
W142	1563.6
W141	1337.8
W028	2117.6
W243	2826.4
C002	855.8
W219	1772.0
C060	1263.8
W288	1056.6
C015	968.2
W002	766.4
W089	2435.4
W250	1130.0
W118	1152.2
W274	1534.8
C155	864.2
C073	831.0
W194	3077.8
C086	638.5
C181	871.0
W323	1206.6
W154	4836.6
C023	1173.2
W091	2148.6
W155	2624.8
C082	1174.8
W286	1843.8
W081	951.4
W174	2626.4
W068	2047.6
C063	1771.25
C003	754.4
W261	1657.2
W209	2676.8
C039	1251.8
W237	4265.6
W053	1074.8
W329	1834.6
W057	1416.4
C118	1270.2
W319	912.2
C020	1007.0
C158	1066.0
W325	1046.2
C166	879.2
C042	1294.2
C052	1216.0
W156	1753.0
W145	1386.2
C161	948.0
W019	1972.4
C080	1175.5
C047	1152.8
C179	1039.6
C084	287.4
W326	1185.4
C185	467.2
W052	1156.4
W275	2653.8
C081	691.2
C154	500.8
W200	2485.0
W248	2284.4
C182	616.0
W114	-9.0
W108	2149.0
W105	1777.8
C098	834.4
C106	1275.6
C195	460.25
C065	1505.2
W132	2943.8
W157	2786.4
C075	1281.6
C144	585.0
C045	1005.8
C029	862.8
C043	911.6
W131	3964.6
W020	2362.6
W175	1735.6
W040	2244.8
W213	2151.0
W189	2913.2
W222	3217.0
W269	2976.8
C164	1285.6
W188	4784.8
W187	-9.0
W169	3142.4
W073	2016.4
W291	-9.0
W066	2224.4
W298	3179.8
W084	2130.0
W301	2092.0
W289	1825.4
W293	2868.6
W046	2454.0
C153	1068.6
W217	3588.8
W140	1919.6
W279	2299.6
W299	2959.6
W214	2534.0
C040	1268.6
C117	1108.2
W201	2783.8
C125	772.0
C097	892.6
C056	600.6
W327	1662.2
C112	1102.0
C022	1537.6
C096	1136.67
C049	783.0
C132	587.2
W107	1712.6
W047	1299.0
C174	1128.2
W143	2340.25
W035	1537.6
W058	3128.0
W092	1972.8
W215	2770.0
W085	2048.8
W210	4613.8
W021	1135.8
W173	1929.4
W292	2153.8
W124	2179.4
W117	1003.2
W012	1004.2
W045	1068.6
W302	2039.8
C157	598.0
W265	3025.8
W136	1817.8
W294	-9.0
W277	1597.2
C016	617.8
W202	2560.2
C071	1168.6
W321	1767.8
W257	1483.8
W295	2558.6
C183	640.4
W225	1342.4
C138	779.8
W322	2582.75
C004	991.8
C028	1159.2
C116	1656.75
W203	2581.8
C058	883.5
C066	1081.4
C128	1277.2
C087	993.8
C032	949.5
W110	1202.0
C033	1103.0
W130	974.0
C014	905.6
W158	2762.2
W226	1729.6
W282	-9.0
C177	639.0
C104	571.67
C108	898.0
W178	2963.6
W037	2099.4
C197	574.0
W001	1375.2
C091	948.0
C092	1130.0
W204	2576.4
C124	1257.4
C094	1132.2
W176	3180.8
C011	1320.2
C194	573.8
C147	1151.2
W067	1353.2
W278	1839.2
C053	1127.0
C009	1235.2
C142	1074.4
C107	1117.6
W177	2647.4
W221	2527.8
C079	1161.0
C133	980.8
C067	1248.4
W048	1502.8
C013	1279.4
W039	2304.4
W094	1297.6
C141	1259.2
C088	679.0
C151	1213.2
C165	1006.4
C072	1124.0
W062	2210.8
C162	953.6
W025	2465.0
W316	2092.6
W300	1976.4
C187	815.2
C119	1144.4
C146	1110.75
W059	1495.4
W016	571.0
W309	3265.0
W227	2713.2
W228	1936.2
W183	2678.2
W313	2710.0
W041	1087.6
W271	2237.4
W103	1526.6
W024	1353.8
W102	696.2
W284	1936.6
W244	2058.4
W126	3240.0
W276	2552.6
W034	1996.6
W033	1912.6
C051	2183.6
W205	2211.0
W013	1466.8
W241	3412.6
W049	2211.4
W236	2853.6
W170	2497.2
W311	2903.4
W184	2434.4
W185	2370.0
W308	1953.8
W191	2065.2
C189	706.6
W234	2208.8
C025	1530.4
C078	780.6
C143	457.6
W318	3407.8
C102	1167.2
W004	1219.2
W159	2570.2
W065	1646.6
W017	1622.0
W055	1009.8
W042	2446.4
W014	1625.0
W051	2625.8
W251	1498.4
W246	2931.4
W280	2156.4
W263	3036.4
W252	1747.6
C001	866.5
W015	3085.6
W254	1308.4
C055	907.8
C186	1454.6
C038	1058.8
C090	1031.4
W097	1507.8
W075	2649.6
W008	1650.0
W010	1597.4
W253	1576.0
W111	1666.8
C006	1022.4
C007	1635.4
C085	894.2
W160	1803.2
W011	1594.2
W135	2716.4
W281	1876.4
C036	1165.4
W070	2857.6
C120	1007.4
W179	3103.6
W328	731.6
W113	2079.4
W031	2465.2
W099	2126.2
W060	1283.8
W072	1386.0
W100	2724.4
W093	1781.6
C064	1092.4
W235	3024.2
C008	1231.4
W005	2224.2
C123	1219.6
W128	2380.8
C012	1430.4
W074	1914.4
C041	1123.0
C068	1475.8
C169	1305.6
W056	2687.8
W220	2166.6
W076	1857.0
W218	2941.8
W121	1698.0
W133	1887.4
W249	1187.0
W186	-9.0
C044	718.0
W240	2356.6
W030	2460.0
W115	2353.6
C089	1040.0
W032	2278.4
W245	1171.6
W171	2526.6
W054	2362.4
W272	2341.2
W216	2712.2
W259	3033.6
W238	2202.8
W285	1453.4
W260	1577.8
W080	2854.2
W098	2757.2
W018	907.6
W063	1073.6
W119	1404.8
C180	877.2
W023	2659.8
W116	1316.0
W006	1395.0
W123	1755.25
C026	1069.8
W320	567.4
C099	936.5
C100	767.0
C105	837.25
C109	565.6
C115	1117.6
C139	926.33
C062	848.4
W109	721.2
W026	2345.0
W268	3409.8
C192	944.6
W206	1795.2
C134	829.4
C140	703.0
W229	3302.8
W230	1994.4
W231	2621.4
C121	1374.25
C021	1032.6
C190	1402.17
C110	1035.25
C130	1019.4
C093	953.6
C170	1043.2
C046	1506.0
C113	940.75
C202	958.4
C095	783.25
C135	1342.0
C111	1014.5
C171	1017.0
C054	1638.67
C131	1168.6
C168	1430.2
W161	3104.0
C061	1360.8
C188	839.4
C035	695.2
W247	2568.6
W270	2591.2
C201	1262.4
W125	2164.2
W087	1471.0
C070	671.4
C191	1392.6
W162	3476.2
W163	4918.2
W207	1699.6
W267	2744.6
W266	-9.0
C103	736.8
C196	1116.0
C048	1163.2
C163	1051.33
W164	2983.6
C203	726.8
C136	916.6
C175	1262.0
C145	1216.2
C024	940.2
W165	3181.2
W208	1762.0
C149	1067.8
C172	986.0
C034	1458.0
C193	1146.6
W166	3498.6
C159	1209.8
W167	2634.0
W324	979.2
C198	1217.25
W255	2953.2
